laufnummer,id,body,ocr text,hashtags,url,1,2,3,4,5,6,7,8,9,10,11,12,99,caption,Kategorie,Politischer Inhalt/Info,Negative Campaigning,Selbstpräsentation unpolitisch,Selbstpräsentation politisch,Parteipräsentation unpolitisch,Parteipräsentation politisch,Interaktion,Neutrale Infos zur Stimmabgabe,Mitgliederinfo,Fundraising,Veranstaltungshinweis,Wahlaufruf direkt,Sonstiges,Detailed Explanation
12.0,CwxuPfgIFW8,"Wir laden herzlich ein zu einer Podiumsdiskussion zum Thema „Toleranz und Respekt“ mit dem Psychologen und Autor Ahmad Mansour.

📅 Freitag, 08. September 2023 
🕕 19 Uhr
📌 Kino Museum Lichtspiele, Lilienstraße 2

@lspaenle
@schaumi81
@michellefall_
@csu 
@csu_lt 

#CSU #Toleranz #Repsekt #GemeinsamStark #Landtagswahl2023 #LTW2023 #Listenplatz110","LAND TAG SWAHL Toleranz 8. OKTOBER und Respekt PODIUMSDISKUSSION Psychologe und Autor Achmed MANSOUR Landtagskandidatin Susanne HORNBERGER Antisemitismusbeauftragter, MdL, Dr. Ludwig SPAENLE Fr., 08.09.2023 / 19 Uhr Kino Museum Lichtspiele; Lilienstraße 2 Die Bezirkstagskandidatinnen Barbara Schaumberger und Michelle Fall laden herzlich CSU* ein. Näher am Menschen","CSU,Toleranz,Repsekt,GemeinsamStark,Landtagswahl2023,LTW2023,Listenplatz110",https://www.instagram.com/p/CwxuPfgIFW8,1,0,0,0,0,0,0,0,0,0,1,0,0,ein Plakat für die Ausstellung der Ausstellung der Ausstellung der Ausstellung der Ausstellung der,,0,0,0,0,0,0,0,0,0,0,1,0,0,"[""Veranstaltungshinweis""]"
13.0,Ct6fTfnqRz4,"Gefühlt ein ganzer Ort hat zum Gelingen der 125-Jahr-Feier der Glonn-Au Schützen in Vogach beigetragen. 

Herzlichen Glückwunsch zum Jubiläum und vielen Dank für den tollen Festsonntag.

#brauchtumbrauchts #mittelstetten #vogach #glonnau #schützen #schützenverein #schützenkonigin",,"brauchtumbrauchts,mittelstetten,vogach,glonnau,schützen,schützenverein,schützenkonigin",https://www.instagram.com/p/Ct6fTfnqRz4,0,0,0,1,0,0,0,0,0,0,0,0,0,"ein Mann mit Hut, der auf einem Pferd reitet",,0,0,1,0,1,0,0,0,0,0,0,0,0,"[""3. Selbstpräsentation unpolitisch"", ""5. Parteipräsentation unpolitisch""]"
14.0,CuE3GU7NlIW,"Warum in die Ferne schweifen, wenn das Gute ist so nah: Betriebsausflug mit den Kolleginnen und Kollegen der Gemeinde Kochel a. See und der Verwaltungsgemeinschaft Kochel a. See auf die Zugspitze. Die Gaudi darf dabei natürlich nicht zu kurz kommen 😎
#zugspitze #eibsee #sonnalpin #betriebsausflug #garmischpartenkirchen #gletscherbahn #gaudi #thomashochzwei #gemeinde #zipfelbob #gletscher",,"zugspitze,eibsee,sonnalpin,betriebsausflug,garmischpartenkirchen,gletscherbahn,gaudi,thomashochzwei,gemeinde,zipfelbob,gletscher",https://www.instagram.com/p/CuE3GU7NlIW,0,0,1,0,0,0,0,0,0,0,0,0,0,ein Mann sitzt auf einem Snowboard,,0,0,1,0,1,0,0,0,0,0,0,0,0,"[""Selbstpräsentation unpolitisch"", ""Parteipräsentation unpolitisch""]"
15.0,CuM_BdbscZZ,Residenzgarten 🌹,,,https://www.instagram.com/p/CuM_BdbscZZ,0,0,1,0,0,0,0,0,0,0,0,0,0,die Sonne scheint durch die Bäume vor einem Gebäude,,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""13. Sonstiges""]"
16.0,CupHuZgNHsP,https://innpuls.me/grosses-interesse-am-aiwanger-auftritt/,FReIE WÄHLER,,https://www.instagram.com/p/CupHuZgNHsP,0,0,0,0,0,1,0,0,0,0,0,0,0,ein Mann steht mit einem Mikrofon an einem Podium,,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""Sonstiges/KA""]"
17.0,CvcriQtobde,"Beim Besuch des Bundestagsabgeordneten Jan Plobner, als bayerisches Mitglied im Verkehrsausschuss des Deutschen Bundestages, war auch die Reaktivierung der Werntalbahn ein wichtiges Thema. Dabei verdeutlichte der 11. Juli, als einer der heißesten Tage des Sommers, fast schon symbolisch den Augenmerk dieser Tour: „Wie kann eine sozialere und nachhaltigere Mobilität in der Region in Zeiten des Klimawandels gelingen?“ Mit dabei waren auch die stellvertretende Landrätin Pamela Nembach, Thüngens Bürgermeister Lorenz Strifsky und Kreisrat und MdL a.D Harald Schneider. Da Infrastruktur und Bedarf da sind, soll ein neuer Anlauf für eine Potentialanalyse gemacht werden.",,,https://www.instagram.com/p/CvcriQtobde,1,0,0,1,0,1,0,0,0,0,0,0,0,eine Gruppe von Menschen steht auf einem Feld,,1,0,0,1,0,0,0,0,0,0,0,0,0,"[""Selbstpräsentation politisch"", ""Politischer Inhalt/Info""]"
18.0,CyDiK05tmEh,#wahlkampf #endspurt #bayern #anders #miteuch #solidarisch #müde #gegenrechts,Wahlkampf ist bald rum ich zieh schon mal ein kleines Fazit,"wahlkampf,endspurt,bayern,anders,miteuch,solidarisch,müde,gegenrechts",https://www.instagram.com/p/CyDiK05tmEh,1,0,0,0,0,0,0,0,0,0,0,0,0,eine Frau mit Brille und schwarz-weiß gestreiftem Hemd,,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""Sonstiges""]"
19.0,CrD21dtt9rQ,"Besuch von #gruenehof in der #fraenkischeschweiz. Swanti Bräsecke-Bartsch, Grüne Direktkandidatin für die kommende #Landtagswahl im Wahlkreis Hof, informierte sich bei unsere Veranstaltung zum Thema ""Wassermanagement in der Fränkischen Schweiz"" direkt vor Ort. Die Diplom-Gestalterin und freiberufliche Grafikdesignerin setzt sich für ihre beiden großen Themen Natur und Kultur unter anderem im Kulturverein Schwarzenbach, als Leiterin der Kunstgalerie Schwarzenbach, beim Landesbund für Vogelschutz und als Gründungsmitglied und zweite Vorsitzende des Vereins Artenreich Oberfranken ein.

Danke Swanti fürs Vorbeischauen! 

#gruene_bayern#gruene_fo#ltw23#landtagswahlbayern#landkreisforchheim",,"gruenehof,fraenkischeschweiz,Landtagswahl,gruene,gruene,ltw23,landtagswahlbayern,landkreisforchheim",https://www.instagram.com/p/CrD21dtt9rQ,1,0,0,1,0,1,0,0,0,0,0,0,0,ein Mann und eine Frau stehen nebeneinander Menschen,,1,0,0,1,0,1,0,0,0,0,0,0,0,"[""Selbstpräsentation politisch"", ""Parteipräsentation politisch"", ""Politischer Inhalt/Info""]"
20.0,CukS-o7NSYj,"Was gibt es schöneres als #Pizza und #Politik?
Heute Abend hatten wir beides: Beim #Stammtisch der SPD Maxhütte-Haidhof und intensiven Gesprächen zur Politik in Stadt, Land und Bund! 🍕 ☀️ 😄 #sozialepolitikfürdich",{Pd Rra Cottal rorisu,"Pizza,Politik,Stammtisch,sozialepolitikfürdich",https://www.instagram.com/p/CukS-o7NSYj,0,0,0,1,0,1,0,0,0,0,0,0,0,"eine Gruppe von Menschen, die um einen Tisch sitzen",,1,0,0,1,1,0,1,0,0,0,0,0,0,"[""Selbstpräsentation politisch"", ""Parteipräsentation unpolitisch"", ""Politischer Inhalt/Info"", ""Interaktion""]"
21.0,CwZbHehtSWl,"Bestens begleitet gestern durch Bürgermeister @matthias.bielek, die Weinprinzessinnen @dettelbacher_weinprinzessin und @weinprinzessin_neuses_am_berg_  und natürlich unsere Freie Wähler Bezirks- und Landtagskandidaten @tamarabischof.landraetin und @alexanderboenig bei der Dettelbacher Kirchweih 😎",5 1 1 Felix`,,https://www.instagram.com/p/CwZbHehtSWl,0,0,0,1,0,1,0,0,0,0,0,0,0,eine Gruppe von Menschen steht um einen Tisch herum,,0,0,0,0,1,1,0,0,0,0,0,0,0,"[""5. Parteipräsentation unpolitisch"", ""6. Parteipräsentation politisch""]"
22.0,Ctv0jUEtcL-,"Am kommenden Sonntag starten wir im Landkreis Cham in den Wahlkampf zur Land- und Bezirkstagswahl 2023.

Gemeinsam kämpfen wir – Steve Brachwitz, Monika Friedl, Jennifer Dietl und Sabine Ebert – für soziale Politik für dich in Bayern. Für die Zukunft.

Zum Startschuss lade wir dazu recht herzlich zum Wahlkampfauftakt am 25.06.2023 um 09:30 Uhr in die Schlossbrauerei Runding ein. Dort wollen wir nochmal uns und unser Programm vorstellen. 

Packen wir es an!","Wahlkampfauftakt Landtagswahl /Bezirkstagswahl Sonntag, 25.06.2023 09:30 Uhr Schlossbrauerei Runding Soziale SPD Politik für Dich. KREISVERBAND CHAM",,https://www.instagram.com/p/Ctv0jUEtcL-,0,0,0,0,0,0,0,0,0,0,1,0,0,ein Plakat für die Veranstaltung mit zwei Männern in Anzügen,,0,0,0,0,0,1,0,0,0,0,1,0,0,"[""11. Veranstaltungshinweis"", ""6. Parteipräsentation politisch""]"
23.0,Cq3iISPNNkt,"Frohe Ostern!☀️🥚🐇

Mein Insta war aus, deins auch? Ich hoffe ihr habt auch alle Zeit mit euren Lieben und draußen in der Sonne verbringen können. Gestern beim Eier suchen hab ich mir noch die Winterjacke geschnappt, heute wars beim Wandern richtig warm.🙂

#ostern #osterhase #osterbäckerei #wanderglück",4874,"ostern,osterhase,osterbäckerei,wanderglück",https://www.instagram.com/p/Cq3iISPNNkt,0,0,1,0,0,0,1,0,0,0,0,0,0,eine Frau hält einen orangefarbenen und weißen Teig,,0,0,1,0,0,0,0,0,0,0,0,0,0,"[""3. Selbstpräsentation unpolitisch""]"
25.0,Crkj2NGoSie,"#𝗧𝗮𝗴𝗱𝗲𝗿𝗦𝘁𝗿𝗲𝘂𝗼𝗯𝘀𝘁𝘄𝗶𝗲𝘀𝗲 🌳🍎🍐 Bayern setzt sich dafür ein, unsere einzigartigen Streuobstwiesen zu pflegen und noch mehr Lebensraum für eine Vielzahl von Tier- und Pflanzenarten zu schaffen. 

✅ 1 Million Streuobstbäume pflanzen 🌳 Das ist das Ziel des Förderprogramms ""Streuobst für alle!"" 
Landwirtschaft alleine kann das nicht stemmen. Daher bitte ich euch: Macht alle mit 😊

➡️ www.stmelf.bayern.de/streuobstfoerderung

#StreuobstBlüht #Streuobstwiese #Streuobst #Förderprogramm #Bayern #Biodiversität #Artenvielfalt #BayerischerStreuobstpakt",,"𝗧𝗮𝗴𝗱𝗲𝗿𝗦𝘁𝗿𝗲𝘂𝗼𝗯𝘀𝘁𝘄𝗶𝗲𝘀𝗲,StreuobstBlüht,Streuobstwiese,Streuobst,Förderprogramm,Bayern,Biodiversität,Artenvielfalt,BayerischerStreuobstpakt",https://www.instagram.com/p/Crkj2NGoSie,1,0,0,0,0,0,1,0,0,0,0,0,0,eine Frau in einem roten Kleid steht neben einem Baum,,1,0,0,0,0,0,1,0,0,0,0,0,0,"[""Politischer Inhalt/Info"", ""Interaktion""]"
27.0,Cv5AG2oo7j7,Endlich Sommer in Oberbayern 🤍💙 Habt Ihr Euch gut erholt am Wochenende? Wer war in den Bergen? ⛰️🌤️💯 📸 @wolfgangmariaweber #oberbayern #liebe,,"oberbayern,liebe",https://www.instagram.com/p/Cv5AG2oo7j7,0,0,1,0,0,0,1,0,0,0,0,0,0,eine Frau sitzt auf einer Bank im Park,,0,0,1,0,1,0,0,0,0,0,0,0,0,"[""3. Selbstpräsentation unpolitisch"", ""5. Parteipräsentation unpolitisch""]"
28.0,Css-205oSgx,"Heute zu Gast bei der Präsidumsklausur des Wirtschaftsbeirates Bayern. Danke für die Einladung liebe Präsidentin @angelika.niebler und die spannende Diskussion. Neben den Fragen der Energieversorgung, Lieferkettenschwierigkeiten und der Arbeitskräftemangel konnten wir auch gemeinsam überlegen wie wir das Land weiter entwickeln wollen. Danke für die tiefgründige und fundierte Debatte! @hans_hammer72 @vinzentellissen @wirtschaftsbeirat #wirtschaft #energie",,"wirtschaft,energie",https://www.instagram.com/p/Css-205oSgx,1,0,0,1,0,0,0,0,0,0,0,0,0,das Team des Hotels am Bleder See,,0,0,0,1,0,1,0,0,0,0,0,0,0,"[""Selbstpräsentation politisch"", ""Parteipräsentation politisch""]"
29.0,CxxnvcEobxs,,Dafür werde ich mich im Landtag einsetzen: Erhalt der Notarztstandorte Langenzenn und Uffenheim Erhalt der Kliniken Mehr Hausärzte und Fachärzte Scheuenstuhl MdL a.D. Soziale SPD Politik für Dich. Harry,,https://www.instagram.com/p/CxxnvcEobxs,1,0,0,0,0,0,0,0,0,0,0,0,0,ein Mann im Anzug und mit Brille mit den Worten ` ` ` ` ` ` ` ` `,,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""Politischer Inhalt/Info""]"
30.0,CxsO5EsNqgh,"Fragt Ihr Euch auch manchmal , wo Ihr Euer Lastenrad in der Stadt parken könnt ? Eine aktuell Anfragen beim Verkehrplanungsamt Nürnberg hat jetzt ergeben: Lastenräder, also auch ein  Cargobike, in dem ich auf dem Foto sitze und wie sie von Transportdiensten und Paketpost für die last mile delivery in der Stadt genutzt werden, können auf Autoparkplätzen abgestellt werden.
Das finde ich eine wichtige Info , weil es aus der Straßenverkehrsordnung nicht so wirklich rauszulesen ist. Lastenräder werden am Straßenrand geparkt, also auch auf Autostellplätzen. Es sei denn, eine außerordentliche Beschilderung schließt das aus .
Außerdem, so die Info von der Stadt Nürnberg, sollen demnächst extra Stellplätze für Lastenräder installiert werden. Der Straßenraum ist für alle da 👍💪.
@gruene.nuernberg

📷 Max Hirschberger

#verkehrswende #lastenfahrrad #lastenrad #cargobike #mobilität #mobility #Nürnberg #ltwbayern2023 #parkraum #parken #stellplätze #sicherradelnjetzt",,"verkehrswende,lastenfahrrad,lastenrad,cargobike,mobilität,mobility,Nürnberg,ltwbayern2023,parkraum,parken,stellplätze,sicherradelnjetzt",https://www.instagram.com/p/CxsO5EsNqgh,1,0,0,0,0,0,0,0,0,0,0,0,0,eine Frau im Pelzmantel lächelt beim Autofahren,,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""Politischer Inhalt/Info""]"
32.0,Cug-YHvNv3L,"Der OV Taufkirchen lädt am 12.07. um 19 Uhr zu einer Infoveranstaltung. 💡

Gemeinsam mit Bernd Rosenbusch, Geschäftsführer des Münchner Verkehrs- und Tarifverbunds (MVV) sprechen wir über Möglichkeiten das Angebot von Bus & Bahn im Landkreis zu verbessern und die #Verkehrswende voranzubringen. 

Schaut’s gerne vorbei, wir freuen uns 💚

——————
#mobilität #verkehr #öpnv #bus #bahn #schiene #öffis #landkreismünchen
@gruenemucland","Vorfahrt für Bus und Bahn Infoveranstaltung am 12.7 19 Uhr im Kultur- & Kongresszentrum Taufkirchen mit Dr. Bernd Rosenbusch, Geschäftsführer MVV & Dr. Markus Büchler, MdL","Verkehrswende,mobilität,verkehr,öpnv,bus,bahn,schiene,öffis,landkreismünchen",https://www.instagram.com/p/Cug-YHvNv3L,1,0,0,0,0,0,0,0,0,0,1,0,0,ein Mann in einer grünen Jacke hält eine Banane,,1,0,0,0,0,0,0,0,0,0,1,0,0,"[""11. Veranstaltungshinweis"", ""1. Politischer Inhalt/Info""]"
33.0,CvDJrTHrYMX,"Wahlkampfauftakt in Hirschaid! 🧡

Bei der Auftaktveranstaltung in Hirschaid haben wir gezeigt, warum es uns @fw_bayern auch nach dem
8. Oktober in der Bayerischen Staatsregierung braucht.

Bayern braucht eine stabile Regierung! Gerade in schwierigen Zeiten wollen wir FREIE WAHLER pragmatische Lösungen anbieten!

#freiewählerbayern 
#anpackenfürbayern 
#landtagswahl2023bayern",91999 a5 HAVZ VAJYAE qÜ,"freiewählerbayern,anpackenfürbayern,landtagswahl2023bayern",https://www.instagram.com/p/CvDJrTHrYMX,0,0,0,1,0,0,0,0,0,0,0,0,0,zwei männer stehen nebeneinander männer,,1,0,0,0,0,1,0,0,0,0,1,0,0,"[""Parteipräsentation politisch"", ""Politischer Inhalt/Info"", ""Veranstaltungshinweis""]"
